1679.72	2787.98	0
1691.91	2629.75	0
1728.59	2472.23	0
1789.14	2319.78	0
1872.43	2176.53	0
1976.78	2046.25	0
2099.98	1932.37	0
2239.32	1837.85	0
2391.64	1765.16	0
2553.45	1716.22	0
2721	1692.35	0
2889.91	1682.71	0
3058.01	1675.58	0
3224.99	1670.41	0
3390.76	1666.72	0
3555.33	1664.1	0
3718.79	1662.26	0
3881.27	1660.97	0
4042.89	1660.06	0
4203.78	1659.42	0
4364.04	1658.96	0
4523.78	1658.63	0
4683.09	1658.39	0
4842.02	1658.21	0
5000.65	1658.08	0
5159.03	1657.97	0
5317.2	1657.88	0
5475.19	1657.81	0
5633.04	1657.75	0
5790.76	1657.69	0
5948.39	1657.64	0
