1808.96	3627.86	0
1809.88	3471.29	0
1814.7	3317.62	0
1826.5	3168.73	0
1847.29	3025.93	0
1878.29	2890.3	0
1920.03	2762.87	0
1972.56	2644.67	0
2035.49	2536.69	0
2108.1	2439.94	0
2189.42	2355.33	0
2283.83	2278.35	0
2394.64	2206.68	0
2518.28	2142.29	0
2651.55	2085.87	0
2791.88	2037.27	0
2937.25	1995.9	0
3086.21	1960.96	0
3237.69	1931.64	0
3390.91	1907.11	0
3545.34	1886.65	0
3700.62	1869.61	0
3856.48	1855.44	0
4012.74	1843.67	0
4169.27	1833.89	0
4325.99	1825.77	0
4482.85	1819.02	0
4639.79	1813.42	0
4796.79	1808.77	0
4953.84	1804.9	0
5110.92	1801.68	0
